size,type,W,A,H_t,h,B,b,t_nom,t,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C
HSS34X10X1,HSS,277.07 plf,76.2 in ** 2,34.0 in,31.2 in,10.0 in,7.21 in,1.0 in,0.93 in,7.75,33.6,9600.0 in ** 4,750.0 in ** 3,565.0 in ** 3,11.2 in,1340.0 in ** 4,307.0 in ** 3,268.0 in ** 3,4.19 in,4040.0 in ** 4,555.0 in ** 3
HSS34X10X7/8,HSS,244.88 plf,67.3 in ** 2,34.0 in,31.6 in,10.0 in,7.56 in,0.875 in,0.814 in,9.29,38.8,8600.0 in ** 4,668.0 in ** 3,506.0 in ** 3,11.3 in,1210.0 in ** 4,274.0 in ** 3,242.0 in ** 3,4.24 in,3630.0 in ** 4,494.0 in ** 3
HSS34X10X3/4,HSS,212.0 plf,58.2 in ** 2,34.0 in,31.9 in,10.0 in,7.91 in,0.75 in,0.698 in,11.3,45.7,7550.0 in ** 4,582.0 in ** 3,444.0 in ** 3,11.4 in,1070.0 in ** 4,240.0 in ** 3,215.0 in ** 3,4.29 in,3190.0 in ** 4,431.0 in ** 3
HSS34X10X5/8,HSS,178.41 plf,48.9 in ** 2,34.0 in,32.3 in,10.0 in,8.26 in,0.625 in,0.581 in,14.2,55.5,6430.0 in ** 4,493.0 in ** 3,378.0 in ** 3,11.5 in,924.0 in ** 4,205.0 in ** 3,185.0 in ** 3,4.35 in,2720.0 in ** 4,365.0 in ** 3
HSS30X10X1,HSS,249.85 plf,68.7 in ** 2,30.0 in,27.2 in,10.0 in,7.21 in,1.0 in,0.93 in,7.75,29.3,6900.0 in ** 4,606.0 in ** 3,460.0 in ** 3,10.0 in,1180.0 in ** 4,273.0 in ** 3,237.0 in ** 3,4.15 in,3460.0 in ** 4,487.0 in ** 3
HSS30X10X7/8,HSS,221.06 plf,60.8 in ** 2,30.0 in,27.6 in,10.0 in,7.56 in,0.875 in,0.814 in,9.29,33.9,6190.0 in ** 4,540.0 in ** 3,413.0 in ** 3,10.1 in,1070.0 in ** 4,245.0 in ** 3,215.0 in ** 3,4.2 in,3110.0 in ** 4,434.0 in ** 3
HSS30X10X3/4,HSS,191.58 plf,52.6 in ** 2,30.0 in,27.9 in,10.0 in,7.91 in,0.75 in,0.698 in,11.3,40,5440.0 in ** 4,471.0 in ** 3,363.0 in ** 3,10.2 in,952.0 in ** 4,215.0 in ** 3,190.0 in ** 3,4.25 in,2730.0 in ** 4,379.0 in ** 3
HSS30X10X5/8,HSS,161.4 plf,44.3 in ** 2,30.0 in,28.3 in,10.0 in,8.26 in,0.625 in,0.581 in,14.2,48.6,4640.0 in ** 4,400.0 in ** 3,310.0 in ** 3,10.2 in,820.0 in ** 4,183.0 in ** 3,164.0 in ** 3,4.31 in,2330.0 in ** 4,321.0 in ** 3
HSS30X10X1/2,HSS,130.52 plf,35.8 in ** 2,30.0 in,28.6 in,10.0 in,8.61 in,0.5 in,0.465 in,18.5,61.5,3810.0 in ** 4,326.0 in ** 3,254.0 in ** 3,10.3 in,679.0 in ** 4,149.0 in ** 3,136.0 in ** 3,4.36 in,1910.0 in ** 4,262.0 in ** 3
HSS24X20X3/4,HSS,212.0 plf,58.2 in ** 2,24.0 in,21.9 in,20.0 in,17.9 in,0.75 in,0.698 in,25.7,31.4,4960.0 in ** 4,489.0 in ** 3,413.0 in ** 3,9.23 in,3750.0 in ** 4,432.0 in ** 3,375.0 in ** 3,8.02 in,6740.0 in ** 4,627.0 in ** 3
HSS24X20X5/8,HSS,178.41 plf,48.9 in ** 2,24.0 in,22.3 in,20.0 in,18.3 in,0.625 in,0.581 in,31.4,38.3,4220.0 in ** 4,413.0 in ** 3,351.0 in ** 3,9.29 in,3190.0 in ** 4,365.0 in ** 3,319.0 in ** 3,8.08 in,5690.0 in ** 4,528.0 in ** 3
HSS24X20X1/2,HSS,144.13 plf,39.5 in ** 2,24.0 in,22.6 in,20.0 in,18.6 in,0.5 in,0.465 in,40,48.6,3450.0 in ** 4,336.0 in ** 3,287.0 in ** 3,9.34 in,2610.0 in ** 4,297.0 in ** 3,261.0 in ** 3,8.13 in,4620.0 in ** 4,427.0 in ** 3
HSS24X20X3/8,HSS,109.15 plf,29.9 in ** 2,24.0 in,23.0 in,20.0 in,19.0 in,0.375 in,0.349 in,54.3,65.8,2640.0 in ** 4,256.0 in ** 3,220.0 in ** 3,9.4 in,2000.0 in ** 4,226.0 in ** 3,200.0 in ** 3,8.19 in,3510.0 in ** 4,324.0 in ** 3
HSS24X20X5/16,HSS,91.39 plf,25.1 in ** 2,24.0 in,23.1 in,20.0 in,19.1 in,0.3125 in,0.291 in,65.7,79.5,2230.0 in ** 4,215.0 in ** 3,186.0 in ** 3,9.43 in,1690.0 in ** 4,190.0 in ** 3,169.0 in ** 3,8.21 in,2950.0 in ** 4,272.0 in ** 3
HSS24X18X3/4,HSS,201.79 plf,55.4 in ** 2,24.0 in,21.9 in,18.0 in,15.9 in,0.75 in,0.698 in,22.8,31.4,4580.0 in ** 4,456.0 in ** 3,382.0 in ** 3,9.09 in,2940.0 in ** 4,375.0 in ** 3,327.0 in ** 3,7.29 in,5690.0 in ** 4,562.0 in ** 3
HSS24X18X5/8,HSS,169.91 plf,46.6 in ** 2,24.0 in,22.3 in,18.0 in,16.3 in,0.625 in,0.581 in,28,38.3,3900.0 in ** 4,386.0 in ** 3,325.0 in ** 3,9.15 in,2510.0 in ** 4,318.0 in ** 3,279.0 in ** 3,7.34 in,4810.0 in ** 4,473.0 in ** 3
HSS24X18X1/2,HSS,137.32 plf,37.6 in ** 2,24.0 in,22.6 in,18.0 in,16.6 in,0.5 in,0.465 in,35.7,48.6,3190.0 in ** 4,314.0 in ** 3,266.0 in ** 3,9.21 in,2060.0 in ** 4,258.0 in ** 3,229.0 in ** 3,7.39 in,3910.0 in ** 4,383.0 in ** 3
HSS24X18X3/8,HSS,104.04 plf,28.5 in ** 2,24.0 in,23.0 in,18.0 in,17.0 in,0.375 in,0.349 in,48.6,65.8,2450.0 in ** 4,240.0 in ** 3,204.0 in ** 3,9.27 in,1580.0 in ** 4,197.0 in ** 3,176.0 in ** 3,7.45 in,2970.0 in ** 4,291.0 in ** 3
HSS24X18X5/16,HSS,87.14 plf,23.9 in ** 2,24.0 in,23.1 in,18.0 in,17.1 in,0.3125 in,0.291 in,58.9,79.5,2060.0 in ** 4,201.0 in ** 3,172.0 in ** 3,9.3 in,1330.0 in ** 4,166.0 in ** 3,148.0 in ** 3,7.47 in,2500.0 in ** 4,244.0 in ** 3
HSS24X16X3/4,HSS,191.58 plf,52.6 in ** 2,24.0 in,21.9 in,16.0 in,13.9 in,0.75 in,0.698 in,19.9,31.4,4200.0 in ** 4,424.0 in ** 3,350.0 in ** 3,8.93 in,2250.0 in ** 4,321.0 in ** 3,281.0 in ** 3,6.53 in,4680.0 in ** 4,496.0 in ** 3
HSS24X16X5/8,HSS,161.4 plf,44.3 in ** 2,24.0 in,22.3 in,16.0 in,14.3 in,0.625 in,0.581 in,24.5,38.3,3580.0 in ** 4,359.0 in ** 3,298.0 in ** 3,8.99 in,1920.0 in ** 4,272.0 in ** 3,240.0 in ** 3,6.59 in,3960.0 in ** 4,419.0 in ** 3
HSS24X16X1/2,HSS,130.52 plf,35.8 in ** 2,24.0 in,22.6 in,16.0 in,14.6 in,0.5 in,0.465 in,31.4,48.6,2930.0 in ** 4,292.0 in ** 3,244.0 in ** 3,9.05 in,1580.0 in ** 4,222.0 in ** 3,197.0 in ** 3,6.64 in,3220.0 in ** 4,340.0 in ** 3
HSS24X16X3/8,HSS,98.94 plf,27.1 in ** 2,24.0 in,23.0 in,16.0 in,15.0 in,0.375 in,0.349 in,42.8,65.8,2250.0 in ** 4,223.0 in ** 3,188.0 in ** 3,9.12 in,1210.0 in ** 4,169.0 in ** 3,152.0 in ** 3,6.69 in,2460.0 in ** 4,258.0 in ** 3
HSS24X16X5/16,HSS,82.88 plf,22.7 in ** 2,24.0 in,23.1 in,16.0 in,15.1 in,0.3125 in,0.291 in,52,79.5,1900.0 in ** 4,188.0 in ** 3,158.0 in ** 3,9.15 in,1030.0 in ** 4,143.0 in ** 3,128.0 in ** 3,6.72 in,2070.0 in ** 4,217.0 in ** 3
HSS24X14X3/4,HSS,181.37 plf,49.8 in ** 2,24.0 in,21.9 in,14.0 in,11.9 in,0.75 in,0.698 in,17.1,31.4,3820.0 in ** 4,391.0 in ** 3,318.0 in ** 3,8.76 in,1660.0 in ** 4,270.0 in ** 3,237.0 in ** 3,5.77 in,3730.0 in ** 4,431.0 in ** 3
HSS24X14X5/8,HSS,152.89 plf,41.9 in ** 2,24.0 in,22.3 in,14.0 in,12.3 in,0.625 in,0.581 in,21.1,38.3,3260.0 in ** 4,332.0 in ** 3,272.0 in ** 3,8.82 in,1420.0 in ** 4,229.0 in ** 3,203.0 in ** 3,5.82 in,3170.0 in ** 4,364.0 in ** 3
HSS24X14X1/2,HSS,123.71 plf,33.9 in ** 2,24.0 in,22.6 in,14.0 in,12.6 in,0.5 in,0.465 in,27.1,48.6,2680.0 in ** 4,270.0 in ** 3,223.0 in ** 3,8.88 in,1170.0 in ** 4,187.0 in ** 3,167.0 in ** 3,5.87 in,2580.0 in ** 4,296.0 in ** 3
HSS24X14X3/8,HSS,93.83 plf,25.7 in ** 2,24.0 in,23.0 in,14.0 in,13.0 in,0.375 in,0.349 in,37.1,65.8,2060.0 in ** 4,207.0 in ** 3,171.0 in ** 3,8.94 in,902.0 in ** 4,143.0 in ** 3,129.0 in ** 3,5.92 in,1970.0 in ** 4,225.0 in ** 3
HSS24X14X5/16,HSS,78.63 plf,21.6 in ** 2,24.0 in,23.1 in,14.0 in,13.1 in,0.3125 in,0.291 in,45.1,79.5,1740.0 in ** 4,174.0 in ** 3,145.0 in ** 3,8.98 in,763.0 in ** 4,120.0 in ** 3,109.0 in ** 3,5.95 in,1660.0 in ** 4,189.0 in ** 3
HSS24X14X1/4,HSS,63.25 plf,17.4 in ** 2,24.0 in,23.3 in,14.0 in,13.3 in,0.25 in,0.233 in,57.1,100,1410.0 in ** 4,140.0 in ** 3,117.0 in ** 3,9.01 in,619.0 in ** 4,97.4 in ** 3,88.5 in ** 3,5.98 in,1340.0 in ** 4,152.0 in ** 3
HSS24X12X1,HSS,222.63 plf,61.3 in ** 2,24.0 in,21.2 in,12.0 in,9.21 in,1.0 in,0.93 in,9.9,22.8,4340.0 in ** 4,459.0 in ** 3,362.0 in ** 3,8.42 in,1460.0 in ** 4,282.0 in ** 3,243.0 in ** 3,4.88 in,3630.0 in ** 4,472.0 in ** 3
HSS24X12X7/8,HSS,197.24 plf,54.3 in ** 2,24.0 in,21.6 in,12.0 in,9.56 in,0.875 in,0.814 in,11.7,26.5,3910.0 in ** 4,410.0 in ** 3,326.0 in ** 3,8.49 in,1320.0 in ** 4,252.0 in ** 3,220.0 in ** 3,4.93 in,3250.0 in ** 4,420.0 in ** 3
HSS24X12X3/4,HSS,171.16 plf,47.1 in ** 2,24.0 in,21.9 in,12.0 in,9.91 in,0.75 in,0.698 in,14.2,31.4,3440.0 in ** 4,359.0 in ** 3,287.0 in ** 3,8.55 in,1170.0 in ** 4,221.0 in ** 3,195.0 in ** 3,4.98 in,2850.0 in ** 4,366.0 in ** 3
HSS24X12X5/8,HSS,144.39 plf,39.6 in ** 2,24.0 in,22.3 in,12.0 in,10.3 in,0.625 in,0.581 in,17.7,38.4,2940.0 in ** 4,304.0 in ** 3,245.0 in ** 3,8.62 in,1000.0 in ** 4,188.0 in ** 3,167.0 in ** 3,5.03 in,2430.0 in ** 4,310.0 in ** 3
HSS24X12X1/2,HSS,116.91 plf,32.1 in ** 2,24.0 in,22.6 in,12.0 in,10.6 in,0.5 in,0.465 in,22.8,48.6,2420.0 in ** 4,248.0 in ** 3,202.0 in ** 3,8.68 in,829.0 in ** 4,154.0 in ** 3,138.0 in ** 3,5.08 in,1980.0 in ** 4,252.0 in ** 3
HSS24X12X3/8,HSS,88.73 plf,24.3 in ** 2,24.0 in,23.0 in,12.0 in,11.0 in,0.375 in,0.349 in,31.4,65.8,1860.0 in ** 4,190.0 in ** 3,155.0 in ** 3,8.75 in,642.0 in ** 4,118.0 in ** 3,107.0 in ** 3,5.14 in,1520.0 in ** 4,192.0 in ** 3
HSS24X12X5/16,HSS,74.38 plf,20.4 in ** 2,24.0 in,23.1 in,12.0 in,11.1 in,0.3125 in,0.291 in,38.2,79.5,1570.0 in ** 4,160.0 in ** 3,131.0 in ** 3,8.78 in,543.0 in ** 4,99.4 in ** 3,90.6 in ** 3,5.16 in,1280.0 in ** 4,161.0 in ** 3
HSS24X12X1/4,HSS,59.85 plf,16.4 in ** 2,24.0 in,23.3 in,12.0 in,11.3 in,0.25 in,0.233 in,48.5,100,1280.0 in ** 4,129.0 in ** 3,106.0 in ** 3,8.82 in,442.0 in ** 4,80.5 in ** 3,73.6 in ** 3,5.19 in,1030.0 in ** 4,130.0 in ** 3
HSS24X8X1/2,HSS,103.3 plf,28.3 in ** 2,24.0 in,22.6 in,8.0 in,6.61 in,0.5 in,0.465 in,14.2,48.6,1900.0 in ** 4,205.0 in ** 3,159.0 in ** 3,8.19 in,336.0 in ** 4,93.5 in ** 3,84.0 in ** 3,3.44 in,955.0 in ** 4,165.0 in ** 3
HSS24X8X3/8,HSS,78.52 plf,21.5 in ** 2,24.0 in,23.0 in,8.0 in,6.95 in,0.375 in,0.349 in,19.9,65.8,1470.0 in ** 4,157.0 in ** 3,123.0 in ** 3,8.27 in,263.0 in ** 4,72.2 in ** 3,65.8 in ** 3,3.5 in,739.0 in ** 4,126.0 in ** 3
HSS24X8X5/16,HSS,65.87 plf,18.1 in ** 2,24.0 in,23.1 in,8.0 in,7.13 in,0.3125 in,0.291 in,24.5,79.5,1250.0 in ** 4,132.0 in ** 3,104.0 in ** 3,8.3 in,224.0 in ** 4,61.0 in ** 3,56.0 in ** 3,3.52 in,625.0 in ** 4,106.0 in ** 3
HSS24X8X1/4,HSS,53.05 plf,14.6 in ** 2,24.0 in,23.3 in,8.0 in,7.3 in,0.25 in,0.233 in,31.3,100,1010.0 in ** 4,107.0 in ** 3,84.4 in ** 3,8.34 in,183.0 in ** 4,49.5 in ** 3,45.8 in ** 3,3.55 in,508.0 in ** 4,86.0 in ** 3
HSS22X22X1,HSS,277.07 plf,76.2 in ** 2,22.0 in,19.2 in,22.0 in,19.2 in,1.0 in,0.93 in,20.7,20.7,5550.0 in ** 4,596.0 in ** 3,505.0 in ** 3,8.54 in,5550.0 in ** 4,596.0 in ** 3,505.0 in ** 3,8.54 in,8890.0 in ** 4,823.0 in ** 3
HSS22X22X7/8,HSS,244.88 plf,67.3 in ** 2,22.0 in,19.6 in,22.0 in,19.6 in,0.875 in,0.814 in,24.1,24.1,4970.0 in ** 4,530.0 in ** 3,452.0 in ** 3,8.59 in,4970.0 in ** 4,530.0 in ** 3,452.0 in ** 3,8.59 in,7890.0 in ** 4,729.0 in ** 3
HSS22X22X3/4,HSS,212.0 plf,58.2 in ** 2,22.0 in,19.9 in,22.0 in,19.9 in,0.75 in,0.698 in,28.5,28.5,4350.0 in ** 4,462.0 in ** 3,395.0 in ** 3,8.65 in,4350.0 in ** 4,462.0 in ** 3,395.0 in ** 3,8.65 in,6860.0 in ** 4,632.0 in ** 3
HSS22X22X5/8,HSS,178.41 plf,48.9 in ** 2,22.0 in,20.3 in,22.0 in,20.3 in,0.625 in,0.581 in,34.9,34.9,3710.0 in ** 4,390.0 in ** 3,337.0 in ** 3,8.7 in,3710.0 in ** 4,390.0 in ** 3,337.0 in ** 3,8.7 in,5790.0 in ** 4,532.0 in ** 3
HSS22X22X1/2,HSS,144.13 plf,39.5 in ** 2,22.0 in,20.6 in,22.0 in,20.6 in,0.5 in,0.465 in,44.3,44.3,3030.0 in ** 4,317.0 in ** 3,276.0 in ** 3,8.76 in,3030.0 in ** 4,317.0 in ** 3,276.0 in ** 3,8.76 in,4700.0 in ** 4,431.0 in ** 3
HSS22X20X3/4,HSS,201.79 plf,55.4 in ** 2,22.0 in,19.9 in,20.0 in,17.9 in,0.75 in,0.698 in,25.7,28.5,4040.0 in ** 4,432.0 in ** 3,367.0 in ** 3,8.54 in,3490.0 in ** 4,405.0 in ** 3,349.0 in ** 3,7.93 in,5920.0 in ** 4,573.0 in ** 3
HSS22X20X5/8,HSS,169.91 plf,46.6 in ** 2,22.0 in,20.3 in,20.0 in,18.3 in,0.625 in,0.581 in,31.4,34.9,3440.0 in ** 4,366.0 in ** 3,313.0 in ** 3,8.59 in,2970.0 in ** 4,343.0 in ** 3,297.0 in ** 3,7.99 in,5000.0 in ** 4,483.0 in ** 3
HSS22X20X1/2,HSS,137.32 plf,37.6 in ** 2,22.0 in,20.6 in,20.0 in,18.6 in,0.5 in,0.465 in,40,44.3,2820.0 in ** 4,297.0 in ** 3,256.0 in ** 3,8.65 in,2440.0 in ** 4,279.0 in ** 3,244.0 in ** 3,8.04 in,4060.0 in ** 4,391.0 in ** 3
HSS22X20X3/8,HSS,104.04 plf,28.5 in ** 2,22.0 in,21.0 in,20.0 in,19.0 in,0.375 in,0.349 in,54.3,60,2160.0 in ** 4,227.0 in ** 3,196.0 in ** 3,8.71 in,1870.0 in ** 4,213.0 in ** 3,187.0 in ** 3,8.1 in,3090.0 in ** 4,297.0 in ** 3
HSS22X20X5/16,HSS,87.14 plf,23.9 in ** 2,22.0 in,21.1 in,20.0 in,19.1 in,0.3125 in,0.291 in,65.7,72.6,1820.0 in ** 4,191.0 in ** 3,166.0 in ** 3,8.73 in,1580.0 in ** 4,179.0 in ** 3,158.0 in ** 3,8.13 in,2590.0 in ** 4,249.0 in ** 3
HSS22X18X3/4,HSS,191.58 plf,52.6 in ** 2,22.0 in,19.9 in,18.0 in,15.9 in,0.75 in,0.698 in,22.8,28.5,3720.0 in ** 4,402.0 in ** 3,338.0 in ** 3,8.41 in,2730.0 in ** 4,351.0 in ** 3,304.0 in ** 3,7.21 in,5000.0 in ** 4,513.0 in ** 3
HSS22X18X5/8,HSS,161.4 plf,44.3 in ** 2,22.0 in,20.3 in,18.0 in,16.3 in,0.625 in,0.581 in,28,34.9,3170.0 in ** 4,341.0 in ** 3,288.0 in ** 3,8.47 in,2330.0 in ** 4,297.0 in ** 3,259.0 in ** 3,7.26 in,4230.0 in ** 4,433.0 in ** 3
HSS22X18X1/2,HSS,130.52 plf,35.8 in ** 2,22.0 in,20.6 in,18.0 in,16.6 in,0.5 in,0.465 in,35.7,44.3,2600.0 in ** 4,277.0 in ** 3,236.0 in ** 3,8.52 in,1910.0 in ** 4,242.0 in ** 3,213.0 in ** 3,7.31 in,3440.0 in ** 4,351.0 in ** 3
HSS22X18X3/8,HSS,98.94 plf,27.1 in ** 2,22.0 in,21.0 in,18.0 in,17.0 in,0.375 in,0.349 in,48.6,60,2000.0 in ** 4,212.0 in ** 3,182.0 in ** 3,8.58 in,1470.0 in ** 4,185.0 in ** 3,164.0 in ** 3,7.37 in,2620.0 in ** 4,267.0 in ** 3
HSS22X18X5/16,HSS,82.88 plf,22.7 in ** 2,22.0 in,21.1 in,18.0 in,17.1 in,0.3125 in,0.291 in,58.9,72.6,1680.0 in ** 4,178.0 in ** 3,153.0 in ** 3,8.61 in,1240.0 in ** 4,156.0 in ** 3,138.0 in ** 3,7.4 in,2200.0 in ** 4,224.0 in ** 3
HSS22X16X3/4,HSS,181.37 plf,49.8 in ** 2,22.0 in,19.9 in,16.0 in,13.9 in,0.75 in,0.698 in,19.9,28.5,3400.0 in ** 4,372.0 in ** 3,309.0 in ** 3,8.26 in,2080.0 in ** 4,300.0 in ** 3,260.0 in ** 3,6.47 in,4130.0 in ** 4,454.0 in ** 3
HSS22X16X5/8,HSS,152.89 plf,41.9 in ** 2,22.0 in,20.3 in,16.0 in,14.3 in,0.625 in,0.581 in,24.5,34.9,2910.0 in ** 4,316.0 in ** 3,264.0 in ** 3,8.32 in,1780.0 in ** 4,254.0 in ** 3,223.0 in ** 3,6.52 in,3500.0 in ** 4,383.0 in ** 3
HSS22X16X1/2,HSS,123.71 plf,33.9 in ** 2,22.0 in,20.6 in,16.0 in,14.6 in,0.5 in,0.465 in,31.4,44.3,2380.0 in ** 4,257.0 in ** 3,217.0 in ** 3,8.38 in,1470.0 in ** 4,207.0 in ** 3,183.0 in ** 3,6.57 in,2850.0 in ** 4,311.0 in ** 3
HSS22X16X3/8,HSS,93.83 plf,25.7 in ** 2,22.0 in,21.0 in,16.0 in,15.0 in,0.375 in,0.349 in,42.8,60,1830.0 in ** 4,197.0 in ** 3,167.0 in ** 3,8.44 in,1130.0 in ** 4,159.0 in ** 3,141.0 in ** 3,6.63 in,2170.0 in ** 4,236.0 in ** 3
HSS22X16X5/16,HSS,78.63 plf,21.6 in ** 2,22.0 in,21.1 in,16.0 in,15.1 in,0.3125 in,0.291 in,52,72.6,1550.0 in ** 4,165.0 in ** 3,141.0 in ** 3,8.47 in,954.0 in ** 4,133.0 in ** 3,119.0 in ** 3,6.65 in,1830.0 in ** 4,198.0 in ** 3
HSS22X16X1/4,HSS,63.25 plf,17.4 in ** 2,22.0 in,21.3 in,16.0 in,15.3 in,0.25 in,0.233 in,65.7,91.4,1250.0 in ** 4,134.0 in ** 3,114.0 in ** 3,8.5 in,774.0 in ** 4,108.0 in ** 3,96.7 in ** 3,6.68 in,1470.0 in ** 4,160.0 in ** 3
HSS22X14X3/4,HSS,171.16 plf,47.1 in ** 2,22.0 in,19.9 in,14.0 in,11.9 in,0.75 in,0.698 in,17.1,28.5,3090.0 in ** 4,343.0 in ** 3,281.0 in ** 3,8.1 in,1530.0 in ** 4,251.0 in ** 3,219.0 in ** 3,5.71 in,3300.0 in ** 4,394.0 in ** 3
HSS22X14X5/8,HSS,144.39 plf,39.6 in ** 2,22.0 in,20.3 in,14.0 in,12.3 in,0.625 in,0.581 in,21.1,34.9,2640.0 in ** 4,291.0 in ** 3,240.0 in ** 3,8.16 in,1320.0 in ** 4,213.0 in ** 3,188.0 in ** 3,5.76 in,2800.0 in ** 4,333.0 in ** 3
HSS22X14X1/2,HSS,116.91 plf,32.1 in ** 2,22.0 in,20.6 in,14.0 in,12.6 in,0.5 in,0.465 in,27.1,44.3,2170.0 in ** 4,237.0 in ** 3,197.0 in ** 3,8.22 in,1080.0 in ** 4,174.0 in ** 3,155.0 in ** 3,5.81 in,2290.0 in ** 4,271.0 in ** 3
HSS22X14X3/8,HSS,88.73 plf,24.3 in ** 2,22.0 in,21.0 in,14.0 in,13.0 in,0.375 in,0.349 in,37.1,60,1670.0 in ** 4,182.0 in ** 3,152.0 in ** 3,8.29 in,837.0 in ** 4,134.0 in ** 3,120.0 in ** 3,5.87 in,1750.0 in ** 4,206.0 in ** 3
HSS22X14X5/16,HSS,74.38 plf,20.4 in ** 2,22.0 in,21.1 in,14.0 in,13.1 in,0.3125 in,0.291 in,45.1,72.6,1410.0 in ** 4,153.0 in ** 3,128.0 in ** 3,8.32 in,708.0 in ** 4,112.0 in ** 3,101.0 in ** 3,5.89 in,1470.0 in ** 4,173.0 in ** 3
HSS22X14X1/4,HSS,59.85 plf,16.4 in ** 2,22.0 in,21.3 in,14.0 in,13.3 in,0.25 in,0.233 in,57.1,91.4,1140.0 in ** 4,123.0 in ** 3,104.0 in ** 3,8.35 in,575.0 in ** 4,90.9 in ** 3,82.2 in ** 3,5.92 in,1190.0 in ** 4,140.0 in ** 3
HSS22X10X5/8,HSS,127.37 plf,35.0 in ** 2,22.0 in,20.3 in,10.0 in,8.26 in,0.625 in,0.581 in,14.2,34.9,2110.0 in ** 4,241.0 in ** 3,191.0 in ** 3,7.76 in,614.0 in ** 4,139.0 in ** 3,123.0 in ** 3,4.19 in,1560.0 in ** 4,234.0 in ** 3
HSS22X10X1/2,HSS,103.3 plf,28.3 in ** 2,22.0 in,20.6 in,10.0 in,8.61 in,0.5 in,0.465 in,18.5,44.3,1740.0 in ** 4,197.0 in ** 3,158.0 in ** 3,7.83 in,510.0 in ** 4,114.0 in ** 3,102.0 in ** 3,4.24 in,1280.0 in ** 4,191.0 in ** 3
HSS22X10X3/8,HSS,78.52 plf,21.5 in ** 2,22.0 in,21.0 in,10.0 in,8.95 in,0.375 in,0.349 in,25.7,60,1340.0 in ** 4,151.0 in ** 3,122.0 in ** 3,7.9 in,397.0 in ** 4,87.7 in ** 3,79.4 in ** 3,4.29 in,986.0 in ** 4,146.0 in ** 3
HSS22X10X5/16,HSS,65.87 plf,18.1 in ** 2,22.0 in,21.1 in,10.0 in,9.13 in,0.3125 in,0.291 in,31.4,72.6,1140.0 in ** 4,128.0 in ** 3,103.0 in ** 3,7.93 in,337.0 in ** 4,74.0 in ** 3,67.4 in ** 3,4.32 in,832.0 in ** 4,123.0 in ** 3
HSS22X10X1/4,HSS,53.05 plf,14.6 in ** 2,22.0 in,21.3 in,10.0 in,9.3 in,0.25 in,0.233 in,39.9,91.4,923.0 in ** 4,103.0 in ** 3,83.9 in ** 3,7.96 in,275.0 in ** 4,60.0 in ** 3,55.0 in ** 3,4.34 in,674.0 in ** 4,99.0 in ** 3
HSS20X20X1,HSS,249.85 plf,68.7 in ** 2,20.0 in,17.2 in,20.0 in,17.2 in,1.0 in,0.93 in,18.5,18.5,4100.0 in ** 4,486.0 in ** 3,410.0 in ** 3,7.72 in,4100.0 in ** 4,486.0 in ** 3,410.0 in ** 3,7.72 in,6600.0 in ** 4,673.0 in ** 3
HSS20X20X7/8,HSS,221.06 plf,60.8 in ** 2,20.0 in,17.6 in,20.0 in,17.6 in,0.875 in,0.814 in,21.6,21.6,3670.0 in ** 4,433.0 in ** 3,367.0 in ** 3,7.77 in,3670.0 in ** 4,433.0 in ** 3,367.0 in ** 3,7.77 in,5870.0 in ** 4,597.0 in ** 3
HSS20X20X3/4,HSS,191.58 plf,52.6 in ** 2,20.0 in,17.9 in,20.0 in,17.9 in,0.75 in,0.698 in,25.6,25.6,3230.0 in ** 4,378.0 in ** 3,323.0 in ** 3,7.84 in,3230.0 in ** 4,378.0 in ** 3,323.0 in ** 3,7.84 in,5110.0 in ** 4,519.0 in ** 3
HSS20X20X5/8,HSS,161.4 plf,44.3 in ** 2,20.0 in,18.3 in,20.0 in,18.3 in,0.625 in,0.581 in,31.5,31.5,2750.0 in ** 4,320.0 in ** 3,275.0 in ** 3,7.88 in,2750.0 in ** 4,320.0 in ** 3,275.0 in ** 3,7.88 in,4320.0 in ** 4,437.0 in ** 3
HSS20X20X1/2,HSS,130.52 plf,35.8 in ** 2,20.0 in,18.6 in,20.0 in,18.6 in,0.5 in,0.465 in,40,40,2260.0 in ** 4,261.0 in ** 3,226.0 in ** 3,7.95 in,2260.0 in ** 4,261.0 in ** 3,226.0 in ** 3,7.95 in,3510.0 in ** 4,355.0 in ** 3
HSS20X20X3/8,HSS,98.94 plf,27.1 in ** 2,20.0 in,19.0 in,20.0 in,19.0 in,0.375 in,0.349 in,54.3,54.3,1740.0 in ** 4,199.0 in ** 3,174.0 in ** 3,8.0 in,1740.0 in ** 4,199.0 in ** 3,174.0 in ** 3,8.0 in,2680.0 in ** 4,269.0 in ** 3
HSS20X20X5/16,HSS,82.88 plf,22.7 in ** 2,20.0 in,19.1 in,20.0 in,19.1 in,0.3125 in,0.291 in,65.7,65.7,1460.0 in ** 4,167.0 in ** 3,146.0 in ** 3,8.03 in,1460.0 in ** 4,167.0 in ** 3,146.0 in ** 3,8.03 in,2250.0 in ** 4,226.0 in ** 3
